cohort_id	accession	origin_stream	in_old	in_timer	old_cohort_ids	timer_refs	comparison_tracks	track_category	track_category_label	cancer_type	therapy_combination	has_rnr	responders	non_responders	has_pre_post	pre_treatment	post_treatment	stratification_source	notes
gse235919_unified	GSE235919	old	true	false	gse235919_mcrc_durvalumab_tremelimumab_mfolfox6		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.
gse289583_unified	GSE289583	old	true	false	gse289583_mcrc_regorafenib_ipilimumab_nivolumab		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.
gse305240_unified	GSE305240	old	true	false	gse305240_gse305511_gastric_anti_pd1_methylation		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.
gse305511_unified	GSE305511	old	true	false	gse305240_gse305511_gastric_anti_pd1_methylation		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.
gse306800_unified	GSE306800	old	true	false	gse306800_srp614547_hnscc_durvalumab_metformin		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.
gse67501_unified	GSE67501	timer	false	true		timer_active	PRE_RESPONSE	A	PRE_RESPONSE only	Renal cell carcinoma	anti-PD-1	yes	4.0	7.0	no			timer_clinical_track_matrix	
gse78220_unified	GSE78220	timer	false	true		timer_active	PRE_RESPONSE	A	PRE_RESPONSE only	Melanoma	anti-PD-1	yes	15.0	13.0	no			timer_clinical_track_matrix	
gse91061_unified	GSE91061	timer	false	true		timer_active	PRE_RESPONSE|TREATMENT_DELTA	C	PRE_RESPONSE + TREATMENT_DELTA	Melanoma	anti-PD-1	yes	20.0	78.0	yes	51.0	58.0	timer_clinical_track_matrix	
gse93157_unified	GSE93157	timer	false	true		timer_active	PRE_RESPONSE	A	PRE_RESPONSE only	Non small-cell lung cancer	anti-PD-1	yes	6.0	16.0	no			timer_clinical_track_matrix	
gse96619_unified	GSE96619	timer	false	true		timer_active	TREATMENT_DELTA	B	TREATMENT_DELTA only	Melanoma	anti-PD-1	no			yes	5.0	5.0	timer_clinical_track_matrix	
erp105482_unified	ERP105482	old	true	false	erp105482_melanoma_pd1;erp105482_melanoma_pd1_ctla4_combo		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.
erp107734_unified	ERP107734	old	true	false	erp107734_gastric_pd1		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.
prjeb23709_unified	PRJEB23709	timer	false	true		timer_active	PRE_RESPONSE|TREATMENT_DELTA	C	PRE_RESPONSE + TREATMENT_DELTA	Melanoma	anti-CTLA-4+anti-PD-1	yes	49.0	42.0	yes	73.0	18.0	timer_clinical_track_matrix	
prjeb25780_unified	PRJEB25780	timer	false	true		timer_active	PRE_RESPONSE	A	PRE_RESPONSE only	Stomach adenocarcinoma	anti-PD-1	yes	21.0	57.0	no			timer_clinical_track_matrix	
