file_id	case_id	sample_id	modality	workflow	file_name	advertised_bytes	advertised_md5	status
abb395e6-40ae-44c9-ad2d-599426fe9bdf	3c4ff061-d214-4d1c-8d2e-3034f207c252	7c606f64-69a1-465c-9f4e-2eb1ebeda5d7	450K	SeSAMe Methylation Beta Estimation	29c1c650-1e52-41a6-bfd5-7450a39fb28b.methylation_array.sesame.level3betas.txt	13191956	5517af79c25b441aa80f5c7dbb9dee49	metadata_candidate_not_QC_eligible
abc2a4aa-95a4-42bf-9b69-dd539e3e5f82	028e99e9-5b9a-4954-bb6e-6d4709a3cea8	9622c370-68d0-48da-a7e0-5eb4765b6f27	450K	SeSAMe Methylation Beta Estimation	22becbe6-8c21-40fb-ae14-0eb28a42d0aa.methylation_array.sesame.level3betas.txt	13167730	1c17269afbd1a70bf6eb0cd6b06f9aae	metadata_candidate_not_QC_eligible
ac1b3490-b748-4aed-bc57-74c572251952	bab335f9-b241-41a7-b107-79b9676b37b8	1d8e9258-d210-4ef8-b448-65d628bb3063	450K	SeSAMe Methylation Beta Estimation	acd1c0ea-1c9b-495e-ad5d-9784561d2cf8.methylation_array.sesame.level3betas.txt	13163550	125ddf5df03b289b4d58c1d95e168d52	metadata_candidate_not_QC_eligible
ac7c1811-dbf5-40a2-97de-18fe4d9fa6ab	e10568fe-0436-43f2-9f0f-48f9903868c4	3b2ed302-d8f1-4078-95f0-3b5c5b322deb	450K	SeSAMe Methylation Beta Estimation	1e11780f-ffe7-4639-b4c6-748ffa303c6e.methylation_array.sesame.level3betas.txt	13047247	814cf60aa3cb3a42055b819b1e73c6db	metadata_candidate_not_QC_eligible
ac98f8d2-fdc4-4925-8fce-7e86d7b89dec	6e3b6b72-142d-4b8d-a462-28a205796e41	3a9be0ad-9ffd-4c4b-8b12-bae55310b0c7	RNA	STAR - Counts	758b1a4d-bd46-4611-b8c3-49c5f62a2dab.rna_seq.augmented_star_gene_counts.tsv	4232136	0d0585c93714d080a9d7a9990cedf30c	metadata_candidate_not_QC_eligible
ac9d6b6d-37e9-44ca-9f70-0e6351c39341	645903b5-ba37-48a1-985b-a019b8db3236	4736860e-fd90-40d1-815e-e1d164123dd8	RNA	STAR - Counts	2f00871b-1c4a-4fe9-94f6-42493fd95841.rna_seq.augmented_star_gene_counts.tsv	4221147	0c72a81086b0947e78e52aa3804c42d8	metadata_candidate_not_QC_eligible
aca8bace-37c5-4ec0-958c-13907ae97d1f	3b21b982-dba2-45f4-ad8d-21dc86fcaaa7	0ecbd044-0689-4395-a3d6-fb0d46fcf226	RNA	STAR - Counts	48fdafbf-3f8b-46ba-8aa9-f081f0b54739.rna_seq.augmented_star_gene_counts.tsv	4255640	a67d594583737083eb37c6b466257c7a	metadata_candidate_not_QC_eligible
ace52699-f049-4a11-ab3d-ce3719c62e41	edf80622-aea2-4b50-bb69-691d6708aa83	81fb5fa9-d901-4faa-b909-376b8676d2bc	RNA	STAR - Counts	0e3e11b9-9f43-4a0d-8665-023fae9f8b00.rna_seq.augmented_star_gene_counts.tsv	4223025	7edb44b06da1d77cd7dde2a9eece24a8	metadata_candidate_not_QC_eligible
acfb9be6-8f22-450f-810f-2142ffe9f6b4	e01e4fb3-236a-4d16-9073-555876b688e9	1c0bc537-7eb8-4bbf-b7bb-cc8e0e610277	450K	SeSAMe Methylation Beta Estimation	60e3ce65-0ad7-4d3f-bdb0-47fdc5025c09.methylation_array.sesame.level3betas.txt	13125137	118a4e72d7ebf0122aa4ec0d328f70bc	metadata_candidate_not_QC_eligible
ad14b665-a96c-4baf-be44-b2ad86fa4386	a8d6694c-a213-4544-ac0b-63bce16d8f4e	336eb991-5705-4bc0-a167-6d7f82f81697	450K	SeSAMe Methylation Beta Estimation	0af0809d-209c-4b25-9fe1-4301efbbeec3.methylation_array.sesame.level3betas.txt	13042083	67c0e8037b895b0065ab73566d1dc3b9	metadata_candidate_not_QC_eligible
ad636e79-be59-4821-8303-7d2e7389b22f	46592b7b-6968-42a6-83af-0917c9f4a9a5	c0a8c73c-35ba-4724-b13a-9a9986af36c0	RNA	STAR - Counts	6545e778-687c-4b82-b6b6-b5d438879069.rna_seq.augmented_star_gene_counts.tsv	4241983	9224887fc22623d57544ed20ebfdd384	metadata_candidate_not_QC_eligible
ad684b05-d880-4699-9a95-eef4b484e8cb	497cc506-03fe-4ffa-860b-5a12adb1bc7d	40bfeee7-9932-47d6-87a8-5fd7514c2917	450K	SeSAMe Methylation Beta Estimation	3069f3f4-3a96-4bf1-b20d-e4509200fe98.methylation_array.sesame.level3betas.txt	13127734	9c616f6d7d7449f9f67a105543d6e537	metadata_candidate_not_QC_eligible
ad6ae9d2-c6f5-4686-9b3c-45ea130493f3	028e99e9-5b9a-4954-bb6e-6d4709a3cea8	9622c370-68d0-48da-a7e0-5eb4765b6f27	RNA	STAR - Counts	2fde57cd-97d2-492d-b37d-a4e2d43239cf.rna_seq.augmented_star_gene_counts.tsv	4223654	526f83fd0fa0a2130fd04c8103af23f5	metadata_candidate_not_QC_eligible
ad8bf3fe-2831-4c1c-81f9-c65e09b2d45e	953a908d-0993-42f6-853b-512611d19a2c	4bee0576-d35f-477b-b974-79cb89c88950	RNA	STAR - Counts	34d64c67-b35b-418e-a7b2-759804876762.rna_seq.augmented_star_gene_counts.tsv	4213808	6367a7f9e1c6082c9ed940caa1751941	metadata_candidate_not_QC_eligible
ada7caf4-d45f-4bcc-8eb1-bd247d1222f4	abd6647b-d2eb-404d-8283-443e92addf55	ee6445a5-22e8-42d8-a2e3-8f0058066352	450K	SeSAMe Methylation Beta Estimation	a9d5eda4-b86a-42bc-b32f-c2d5cc4f38fe.methylation_array.sesame.level3betas.txt	13140938	49bd27d76e61498d7f6ab12b8df92d5d	metadata_candidate_not_QC_eligible
